route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Callala Beach to Shoalhaven High,Callala Beach to Shoalhaven High,In,School,S471,S471-22,V0313,Nowra Coaches,RRBSC V0313,18.18,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",22220.787895319354
Maitland to Kurri Kurri,Kurri Kurri to Maitland,In,Regular,166,166-30,OSMBSC001,Rover Motors,OSMBSC Contract 1,15.57,mat@rovercoaches.com.au,0249901699,,,"231 Vincent Street, CESSNOCK, NSW, 2325",18574.83414018209
Keira HS - Coniston Station,Gladstone Ave af Bridge St to Keira HS ,Out,School,S153,S153-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,7.43,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",9027.032728846552
Bowraville Central School to Mann/Centenary,School Service,Out,School,S323,S323-8121,L0817,Busways,RRBSC L0817,32.54,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",37884.4175579954
Ulladulla to Milton via Mollymook & Narrawallee,Ulladulla to Milton via Mollymook & Narrawallee,Out,Regular,740,740-24,S0318,Ulladulla Buslines,RRBSC S0318,8.6,info@buslinesgroup.com.au,0418 214 135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",10562.500710678083
Coogee to Randwick Junction,Coogee - City Museum (LOOP SERVICE),In,Regular,373,373-295,GSBC009,Transdev John Holland Buses,GSBC Contract 9,2.77,daniela.fontana@transdevjohnholland.com.au,0488 745 279,02 7257 2488,,"Level 8, 469 La Trobe Street, MELBOURNE, VIC, 3000",3340.7123320199053
Oxalis Cres after Alpine Ash Way to Queanbeyan,Tralee to Queanbeyan via Sth Jerrabomberra and QBI,In,Regular,835,835-47,L0328,QCity Transit,RRBSC L0328,15.14,capitalinfo@cdcbus.com.au,0413 498 237,,,"11 Bass Street, QUEANBEYAN, NSW, 2620",18582.453270465838
Woy Woy Stn to Gosford Stn,Gosford & Woy Woy via Kincumber & Empire Bay,In,Regular,64,64-249,OMBSC006,Busways OMR6,OMBSC Contract 6,47.63,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",57216.1517929571
Tamworth to Oxley Vale Via Tamworth Hospital (Loop Service),Tamworth to Oxley Vale Via Tamworth Hospital (Loop Service),In,Regular,430,430-4,M0812,Tamworth Buslines,RRBSC M0812,13.05,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",15264.313495468412
Zebra Bus - Dubbo Schools to South Dubbo and Dulhunty,Zebra Bus - Dubbo Schools to South Dubbo and Dulhunty,Out,School,S284,S284-1,M0299,Dubbo Buslines,RRBSC M0299,23.28,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd, BURWOOD, NSW, 2134",27585.757841751933
